Timestamp,People_Crossing,People_In_Crosswalk_Now,Avg_People_Velocity_Crossing_pixels/sec,People_Waiting,People_In_Waiting_Now,Avg_People_Velocity_Waiting_pixels/sec,Vehicles,Avg_Vehicle_Velocity_pixels/sec,Queued_Vehicles,Label
56:50.3,5,5,36.19803402,5,5,36.19803402,5,204.9373825,0,green
56:50.6,6,6,78.75781165,6,6,78.75781165,5,171.6059346,0,green
56:50.8,6,6,71.56645019,6,6,71.56645019,4,168.707101,0,green
56:51.1,6,6,33.76183487,6,6,33.76183487,4,197.8437725,0,green
56:51.3,6,6,27.82647054,6,6,27.82647054,4,202.3013341,0,green
56:51.6,6,6,33.95775844,6,6,33.95775844,4,172.7163155,0,green
56:51.8,6,6,30.8708274,6,6,30.8708274,4,128.2957646,0,green
56:52.1,5,5,28.94101971,5,5,28.94101971,5,149.5722484,0,green
56:52.3,6,6,42.64135187,6,6,42.64135187,5,126.9617715,0,green
56:52.6,6,6,25.54563088,6,6,25.54563088,4,101.2998819,0,green
56:52.9,7,7,26.71209867,7,7,26.71209867,4,112.6163859,0,green
56:53.1,7,7,124.1656867,7,7,124.1656867,4,147.8184953,0,green
56:53.3,7,7,159.9922094,7,7,159.9922094,4,154.6244428,0,green
56:53.6,7,7,163.0961797,7,7,163.0961797,5,159.319367,0,green
56:53.9,7,7,87.90899962,7,7,87.90899962,5,122.5099731,0,green
56:54.2,6,6,41.4517487,6,6,41.4517487,5,127.5266776,0,green
56:54.5,6,6,33.27082831,6,6,33.27082831,6,139.7598078,0,green
56:54.8,6,6,49.86653885,6,6,49.86653885,8,209.5531104,0,green
56:55.0,6,6,29.73776825,6,6,29.73776825,9,126.0905662,0,green
56:55.3,5,5,30.86918936,5,5,30.86918936,8,118.533666,0,green
56:55.6,6,6,26.41933254,6,6,26.41933254,7,79.90855281,0,green
56:55.8,6,6,32.59265333,6,6,32.59265333,7,76.79111698,0,green
56:56.1,5,5,27.17321411,5,5,27.17321411,7,88.45442866,0,green
56:56.3,6,6,20.09021248,6,6,20.09021248,7,92.39752747,0,green
56:56.6,6,6,37.37527984,6,6,37.37527984,8,126.3588001,0,green
56:56.8,5,5,29.66650982,5,5,29.66650982,8,78.86445414,0,green
56:57.1,5,5,40.57064133,5,5,40.57064133,7,72.62532154,1,green
56:57.3,5,5,33.34646737,5,5,33.34646737,6,102.8992478,0,green
56:57.6,5,5,43.28825445,5,5,43.28825445,5,110.953137,0,green
56:57.8,5,5,45.78846442,5,5,45.78846442,5,93.01463125,0,green
56:58.0,5,5,31.03855452,5,5,31.03855452,6,60.24448336,0,green
56:58.3,5,5,37.37014375,5,5,37.37014375,8,65.24284786,0,green
56:58.5,5,5,42.72044166,5,5,42.72044166,8,91.34400946,1,green
56:58.8,5,5,32.38095356,5,5,32.38095356,8,61.52967266,0,green
56:59.0,5,5,32.87079563,5,5,32.87079563,9,66.5586802,0,green
56:59.2,5,5,32.14843353,5,5,32.14843353,9,64.94236611,0,green
56:59.5,5,5,31.68034946,5,5,31.68034946,9,87.18706971,0,green
